bioguide_id,ICPSR_id
W000789,29779
W000804,20756
W000672,14869
W000809,21108
W000810,21122
W000738,29309
W000793,29931
W000779,14871
W000784,29355
Y000062,20723
Y000063,21135
Y000031,13047
Y000033,14066
Y000064,21133
